EmployeeID,AvgMonthlyWorkingHours,AvgMonthlyOvertimeHours,AbsenteeismRate
E0147,152,8,0.05
E0148,182,34,0.14
E0149,153,15,0.01
E0150,195,12,0.03
E0151,182,12,0.01
E0152,168,36,0.11
E0153,193,18,0.15
E0154,152,29,0.14
E0155,178,14,0.02
E0156,147,9,0.13
E0157,211,13,0.13
E0158,191,14,0.03
E0159,181,10,0.1
E0160,150,37,0.12
E0161,206,26,0.12
E0162,165,29,0.02
E0163,149,5,0.1
E0164,158,7,0.07
E0165,159,33,0.01
E0166,207,26,0.02
E0167,183,34,0.09
E0168,148,38,0.07
E0169,204,12,0.11
E0170,169,30,0.03
E0171,182,3,0.12
E0172,158,13,0.11
E0173,152,13,0.02
E0174,149,0,0.03
E0175,158,32,0.05
E0176,173,21,0.09
E0177,216,6,0.07
E0178,209,39,0.03
E0179,163,4,0.05
E0180,172,4,0.09
E0181,160,3,0.11
E0182,146,24,0.06
E0183,205,28,0.12
E0184,211,19,0.08
E0185,218,3,0.06
E0186,146,8,0.08
E0187,150,23,0.07
E0188,182,27,0.09
E0189,148,5,0.13
E0190,149,33,0.07
E0191,147,37,0.0
E0192,163,21,0.01
E0193,191,40,0.02
E0194,169,29,0.12
E0195,211,15,0.03
E0196,176,30,0.03
E0197,140,37,0.12
E0198,155,25,0.01
E0199,168,27,0.15
E0200,173,27,0.03
E0201,181,30,0.07
E0202,175,28,0.13
E0203,184,4,0.03
E0204,168,36,0.09
E0205,196,22,0.1
E0206,158,33,0.11
E0207,197,34,0.11
E0208,176,29,0.1
E0209,177,19,0.01
E0210,197,0,0.11
E0211,161,9,0.01
E0212,207,5,0.02
E0213,152,15,0.06
E0214,209,28,0.06
E0215,181,39,0.09
E0216,185,28,0.01
E0217,149,16,0.09
E0218,201,14,0.11
E0219,206,38,0.14
E0220,162,23,0.03
E0221,211,22,0.11
E0222,146,15,0.07
E0223,141,23,0.04
E0224,214,0,0.05
E0225,215,20,0.1
E0226,215,16,0.1
E0227,152,4,0.01
E0228,213,0,0.0
E0229,172,13,0.07
E0230,201,1,0.06
E0231,201,18,0.07
E0232,204,11,0.08
E0233,177,6,0.01
E0234,170,19,0.13
E0235,197,34,0.11
E0236,203,23,0.02
E0237,155,8,0.01
E0238,189,8,0.02
E0239,188,33,0.05
E0240,178,21,0.1
E0241,156,34,0.05
E0242,176,9,0.08
E0243,181,12,0.01
E0244,152,9,0.09
E0245,149,6,0.1
E0246,177,4,0.08
E0247,170,7,0.13
E0248,156,16,0.13
E0249,171,38,0.11
E0250,151,30,0.08
E0251,215,28,0.04
E0252,203,22,0.12
E0253,141,30,0.01
E0254,217,0,0.14
E0255,218,7,0.14
E0256,177,2,0.04
E0257,193,5,0.12
E0258,205,38,0.03
E0259,150,3,0.0
E0260,183,38,0.1
E0261,178,29,0.1
E0262,180,16,0.0
E0263,168,33,0.03
E0264,211,25,0.05
E0265,178,39,0.13
E0266,207,16,0.1
E0267,142,13,0.13
E0268,188,10,0.08
E0269,210,14,0.04
E0270,163,16,0.12
E0271,196,38,0.06
E0272,145,30,0.1
E0273,207,34,0.06
E0274,184,9,0.12
E0275,211,1,0.02
E0276,158,23,0.09
E0277,148,34,0.03
E0278,149,40,0.08
E0279,194,27,0.11
E0280,196,36,0.08
E0281,149,30,0.13
E0282,170,3,0.08
E0283,166,2,0.12
E0284,167,11,0.01
E0285,146,13,0.06
E0286,169,20,0.05
E0287,180,0,0.08
E0288,215,14,0.07
E0289,168,17,0.02
E0290,178,17,0.1
E0291,147,7,0.04
E0292,211,4,0.06
E0293,168,35,0.07
E0294,144,35,0.01
E0295,163,22,0.09
E0296,164,27,0.1
E0297,185,19,0.05
E0298,149,22,0.05
E0299,220,26,0.14
E0300,146,24,0.01
E0301,185,37,0.12
E0302,179,5,0.0
E0303,215,34,0.14
E0304,205,3,0.01
E0305,175,3,0.12
E0306,183,40,0.05
E0307,200,24,0.09
E0308,215,31,0.14
E0309,169,27,0.1
E0310,218,40,0.07
E0311,209,30,0.09
E0312,203,6,0.04
E0313,152,22,0.11
E0314,188,5,0.14
E0315,165,32,0.05
E0316,188,27,0.04
E0317,218,17,0.1
E0318,165,13,0.03
E0319,213,23,0.02
E0320,208,10,0.01
E0321,165,24,0.07
E0322,191,14,0.02
E0323,210,36,0.14
E0324,197,17,0.01
E0325,199,17,0.07
E0326,182,27,0.06
E0327,155,12,0.02
E0328,147,5,0.03
E0329,142,38,0.14
E0330,145,18,0.13
E0331,164,20,0.12
E0332,219,18,0.15
E0333,183,6,0.07
E0334,168,40,0.11
E0335,152,9,0.07
E0336,165,13,0.06
E0337,143,34,0.0
E0338,177,14,0.12
E0339,205,26,0.14
E0340,195,36,0.09
E0341,151,9,0.09
E0342,163,0,0.02
E0343,199,40,0.12
E0344,185,31,0.08
E0345,160,23,0.11
E0346,205,15,0.12
E0347,172,13,0.07
E0348,186,13,0.03
E0349,204,35,0.01
E0350,197,28,0.09
E0351,156,22,0.1
E0352,204,8,0.09
E0353,181,19,0.02
E0354,211,20,0.01
E0355,195,21,0.09
E0356,165,30,0.04
E0357,165,25,0.02
E0358,209,5,0.09
E0359,193,15,0.01
E0360,189,2,0.03
E0361,148,4,0.11
E0362,210,31,0.01
E0363,203,39,0.14
E0364,212,17,0.11
E0365,217,16,0.1
E0366,177,35,0.06
E0367,174,13,0.04
E0368,163,14,0.0
E0369,178,10,0.07
E0370,187,1,0.12
E0371,176,27,0.06
E0372,140,30,0.01
E0373,144,28,0.13
E0374,159,37,0.01
E0375,199,0,0.07
E0376,165,37,0.11
E0377,187,27,0.14
E0378,160,25,0.07
E0379,174,2,0.09
E0380,169,32,0.06
E0381,188,13,0.04
E0382,218,31,0.0
E0383,150,31,0.06
E0384,215,9,0.1
E0385,143,40,0.04
E0386,214,26,0.12
E0387,198,19,0.07
E0388,219,10,0.01
E0389,198,39,0.07
E0390,177,25,0.03
E0391,193,22,0.06
E0392,211,30,0.08
E0393,175,19,0.11
E0394,166,20,0.05
E0395,185,13,0.01
E0396,140,26,0.11
E0397,170,15,0.1
E0398,199,17,0.05
E0399,175,24,0.01
E0400,196,10,0.1
E0401,167,2,0.15
E0402,182,26,0.1
E0403,146,5,0.09
E0404,219,3,0.15
E0405,156,11,0.06
E0406,177,4,0.08
E0407,180,36,0.13
E0408,182,27,0.03
E0409,183,32,0.04
E0410,220,20,0.12
E0411,192,3,0.1
E0412,157,23,0.07
E0413,156,6,0.03
E0414,188,0,0.1
E0415,197,28,0.0
E0416,196,17,0.04
E0417,214,37,0.05
E0418,168,26,0.05
E0419,184,1,0.07
E0420,169,13,0.02
E0421,212,24,0.02
E0422,145,33,0.02
E0423,177,22,0.04
E0424,211,16,0.1
E0425,149,17,0.01
E0426,202,30,0.0
E0427,148,3,0.11
E0428,207,26,0.05
E0429,159,13,0.08
E0430,211,33,0.04
E0431,194,27,0.01
E0432,169,9,0.08
E0433,164,39,0.14
E0434,180,3,0.13
E0435,175,29,0.02
E0436,140,6,0.02
E0437,172,11,0.04
E0438,184,36,0.08
E0439,171,5,0.03
E0440,207,19,0.14
E0441,175,14,0.12
E0442,207,21,0.05
E0443,187,32,0.01
E0444,158,12,0.13
E0445,182,39,0.03
E0446,220,9,0.09
E0447,198,21,0.06
E0448,183,7,0.14
E0449,147,12,0.11
E0450,184,25,0.02
E0451,194,10,0.07
E0452,172,25,0.14
E0453,193,24,0.09
E0454,147,9,0.03
E0455,212,22,0.01
E0456,150,13,0.02
E0457,194,35,0.09
E0458,155,18,0.12
E0459,187,33,0.03
E0460,203,14,0.03
E0461,166,19,0.04
E0462,216,13,0.1
E0463,181,0,0.09
E0464,197,29,0.12
E0465,172,15,0.08
E0466,206,5,0.13
E0467,155,1,0.05
E0468,159,34,0.07
E0469,161,13,0.04
E0470,197,21,0.02
E0471,176,0,0.05
E0472,219,4,0.02
E0473,160,15,0.05
E0474,153,36,0.06
E0475,164,14,0.05
E0476,156,36,0.05
E0477,183,20,0.15
E0478,210,29,0.01
E0479,170,14,0.14
E0480,167,37,0.05
E0481,143,6,0.0
E0482,202,17,0.03
E0483,214,14,0.05
E0484,151,4,0.04
E0485,215,37,0.0
E0486,186,0,0.07
E0487,190,38,0.11
E0488,156,25,0.02
E0489,145,17,0.07
E0490,163,14,0.09
E0491,169,31,0.06
E0492,178,23,0.11
E0493,204,22,0.12
E0494,169,40,0.04
E0495,216,30,0.01
E0496,174,3,0.05
E0497,187,28,0.05
E0498,158,2,0.01
E0499,187,19,0.14
E0500,213,0,0.13
