EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,PerformanceRating,YearsAtCompany,JoinDate,ExitDate,Attrition
E0129,36,Male,Sales,Executive,72758,5,13,2021-12-06,,No
E0130,56,Male,Operations,Manager,59597,2,11,2020-10-29,,No
E0131,27,Male,Finance,Executive,58324,4,12,2021-02-24,,No
E0132,34,Male,IT,Manager,87553,5,13,2020-07-23,2023-12-01,Yes
E0133,33,Male,Operations,Senior Executive,116091,2,15,2018-06-16,2020-07-23,Yes
E0134,37,Male,IT,Senior Executive,45341,3,13,2018-04-06,,No
E0135,53,Female,IT,Analyst,88014,3,3,2021-12-26,2023-01-07,Yes
E0136,34,Male,Sales,Manager,57194,4,8,2019-08-29,,No
E0137,43,Male,HR,Manager,100830,3,2,2021-03-06,,No
E0138,39,Male,Operations,Analyst,60525,4,6,2020-04-27,,No
E0139,56,Male,Finance,Analyst,27958,3,14,2018-02-21,,No
E0140,25,Male,Finance,Senior Executive,56820,3,9,2020-01-10,,No
E0141,28,Female,Sales,Senior Executive,66898,5,15,2020-04-17,,No
E0142,53,Male,Finance,Analyst,104725,3,11,2019-08-22,,No
E0143,42,Female,IT,Analyst,44925,5,2,2022-05-24,,No
E0144,34,Female,HR,Senior Executive,111156,4,10,2019-02-17,,No
E0145,23,Female,HR,Executive,79285,4,2,2021-11-23,,No
E0146,47,Female,Operations,Analyst,116585,2,11,2024-05-13,,No
E0147,23,Female,Finance,Manager,60700,4,3,2020-06-04,,No
E0148,58,Female,Sales,Manager,73944,4,6,2020-05-15,,No
E0149,58,Male,Finance,Senior Executive,91482,4,10,2019-01-31,,No
E0150,50,Male,IT,Manager,109599,3,5,2020-07-25,,No
E0151,43,Male,Finance,Analyst,85201,5,15,2020-09-18,,No
E0152,51,Female,IT,Analyst,96750,4,2,2021-07-26,,No
E0153,57,Male,HR,Executive,63804,4,15,2018-05-27,,No
E0154,47,Male,HR,Executive,45693,5,8,2019-05-29,,No
E0155,37,Male,IT,Senior Executive,89710,3,3,2020-01-15,,No
E0156,36,Female,Sales,Executive,22061,3,13,2020-03-20,,No
E0157,28,Male,Sales,Manager,42749,2,4,2019-07-21,2021-11-21,Yes
E0158,43,Male,Operations,Senior Executive,30168,2,11,2021-05-26,,No
E0159,30,Male,HR,Manager,106679,5,9,2021-04-14,2022-05-31,Yes
E0160,55,Male,Sales,Analyst,119372,2,15,2020-06-24,,No
E0161,54,Female,Operations,Senior Executive,83744,5,2,2021-10-03,,No
E0162,46,Male,Sales,Analyst,59859,4,6,2021-07-29,2025-10-15,Yes
E0163,40,Female,HR,Manager,108104,5,8,2020-10-16,,No
E0164,37,Male,HR,Senior Executive,98756,5,8,2018-12-31,2020-09-27,Yes
E0165,45,Male,Finance,Manager,40155,3,0,2024-08-07,,No
E0166,29,Male,HR,Executive,118038,5,9,2024-03-30,,No
E0167,44,Male,IT,Senior Executive,88346,5,13,2018-11-05,,No
E0168,47,Female,Finance,Analyst,112447,4,15,2018-12-29,,No
E0169,44,Male,HR,Analyst,43757,2,15,2022-03-08,2022-04-24,Yes
E0170,42,Female,HR,Manager,24352,4,14,2019-09-30,,No
E0171,22,Female,Sales,Executive,105491,4,12,2025-01-22,,No
E0172,32,Male,Sales,Manager,66073,5,2,2020-07-18,,No
E0173,41,Male,Sales,Executive,42174,2,13,2021-12-12,2025-03-27,Yes
E0174,30,Female,Finance,Analyst,106862,4,15,2020-05-19,2022-02-28,Yes
E0175,24,Female,Finance,Analyst,105751,2,0,2023-12-15,,No
E0176,44,Female,IT,Analyst,31356,2,11,2019-05-30,,No
E0177,27,Male,Sales,Senior Executive,81898,4,3,2020-01-26,2022-01-20,Yes
E0178,49,Male,Sales,Analyst,106701,2,9,2018-08-04,,No
E0179,30,Female,HR,Senior Executive,36597,2,6,2022-04-09,,No
E0180,35,Male,IT,Senior Executive,95028,4,13,2024-05-08,,No
E0181,60,Male,HR,Analyst,101635,5,5,2021-01-05,,No
E0182,51,Male,Finance,Senior Executive,66925,4,13,2019-08-19,2022-10-29,Yes
E0183,31,Male,HR,Executive,52081,2,9,2024-01-06,,No
E0184,38,Female,IT,Executive,52999,3,1,2020-09-16,,No
E0185,49,Female,IT,Senior Executive,99720,5,14,2018-06-18,2024-01-12,Yes
E0186,29,Female,HR,Manager,117522,5,2,2022-05-30,,No
E0187,52,Male,HR,Executive,44257,5,9,2025-01-21,,No
E0188,26,Male,HR,Executive,33580,2,10,2021-06-22,,No
E0189,50,Male,Finance,Analyst,70605,5,15,2022-05-17,2023-07-18,Yes
E0190,48,Female,HR,Analyst,39918,4,15,2024-10-25,,No
E0191,29,Male,Sales,Analyst,103172,3,12,2020-08-19,,No
E0192,28,Female,Sales,Senior Executive,34971,4,2,2020-03-17,,No
E0193,29,Female,IT,Executive,72414,4,12,2020-10-09,,No
E0194,49,Male,Operations,Analyst,24284,4,0,2018-12-03,,No
E0195,49,Male,Operations,Senior Executive,114578,3,4,2021-01-23,,No
E0196,53,Male,Finance,Senior Executive,112757,4,4,2018-07-02,,No
E0197,45,Female,IT,Manager,45062,3,5,2021-01-20,,No
E0198,60,Male,Sales,Manager,77453,2,5,2024-02-01,,No
E0199,57,Male,Finance,Analyst,51683,5,3,2020-03-07,,No
E0200,24,Female,Operations,Manager,87767,2,9,2022-03-22,,No
E0201,31,Female,Operations,Senior Executive,70085,4,15,2021-04-10,,No
E0202,47,Female,Finance,Manager,76742,5,5,2022-06-28,,No
E0203,28,Male,Finance,Senior Executive,110368,4,11,2019-03-06,,No
E0204,26,Male,IT,Analyst,39142,2,10,2019-10-29,,No
E0205,34,Female,Operations,Manager,31399,4,12,2023-10-17,,No
E0206,45,Male,Finance,Senior Executive,32134,2,9,2024-10-11,,No
E0207,42,Male,Finance,Analyst,56583,3,15,2018-03-10,2023-02-25,Yes
E0208,48,Male,Finance,Manager,55995,5,2,2018-05-19,2020-05-21,Yes
E0209,34,Female,Operations,Executive,79852,4,2,2022-06-17,,No
E0210,31,Male,Operations,Executive,27770,5,1,2018-11-06,,No
E0211,29,Female,Sales,Executive,111567,3,3,2022-04-14,2023-05-16,Yes
E0212,36,Female,IT,Executive,50532,5,9,2024-11-17,2025-10-26,Yes
E0213,26,Male,HR,Analyst,97375,2,9,2019-12-21,,No
E0214,45,Female,HR,Analyst,112992,3,10,2018-08-20,,No
E0215,28,Female,IT,Executive,30850,3,4,2019-08-26,,No
E0216,44,Male,HR,Analyst,53514,2,2,2019-12-12,,No
E0217,51,Female,Finance,Senior Executive,62466,5,8,2020-05-02,,No
E0218,40,Male,IT,Manager,70912,4,12,2023-03-10,2024-11-02,Yes
E0219,37,Female,Finance,Executive,58846,5,13,2020-03-29,2023-08-29,Yes
E0220,38,Female,Operations,Executive,103033,2,10,2018-02-08,2022-12-07,Yes
E0221,29,Male,IT,Analyst,30962,4,5,2022-12-22,,No
E0222,44,Male,Operations,Senior Executive,36340,4,15,2023-03-17,,No
E0223,31,Female,Sales,Executive,86013,4,8,2020-07-19,,No
E0224,28,Male,Finance,Executive,47910,4,13,2022-09-11,,No
E0225,41,Male,HR,Executive,61341,3,0,2019-07-28,2023-01-23,Yes
E0226,27,Female,Operations,Senior Executive,55016,5,15,2020-05-26,,No
E0227,48,Male,Sales,Manager,100555,2,11,2023-05-31,,No
E0228,58,Female,HR,Analyst,75654,3,9,2022-03-14,,No
E0229,22,Female,IT,Manager,67519,5,4,2019-11-05,,No
E0230,46,Female,Operations,Analyst,69253,5,2,2018-03-04,,No
E0231,34,Male,Finance,Analyst,85478,5,1,2021-09-27,,No
E0232,48,Female,Finance,Manager,78554,5,11,2021-11-21,,No
E0233,25,Female,Sales,Senior Executive,87486,2,6,2022-09-16,,No
E0234,34,Female,HR,Analyst,53075,2,7,2018-12-22,,No
E0235,58,Male,Operations,Manager,99407,4,12,2021-12-29,,No
E0236,32,Male,HR,Executive,108599,5,13,2021-04-11,,No
E0237,32,Male,Finance,Senior Executive,71445,2,6,2020-10-28,,No
E0238,49,Male,IT,Executive,48079,3,15,2020-06-13,,No
E0239,52,Female,IT,Analyst,30411,3,1,2024-07-18,2026-01-17,Yes
E0240,23,Female,Finance,Analyst,31444,3,0,2020-09-14,,No
E0241,35,Male,Finance,Analyst,64518,5,9,2019-08-16,2024-08-15,Yes
E0242,27,Female,HR,Executive,71340,5,6,2024-05-11,,No
E0243,58,Male,HR,Analyst,77418,3,10,2018-07-19,,No
E0244,52,Male,IT,Senior Executive,29754,5,6,2022-11-02,,No
E0245,50,Male,Operations,Manager,76231,3,13,2020-02-14,,No
E0246,48,Male,HR,Senior Executive,27723,4,1,2021-04-23,,No
E0247,54,Female,Operations,Senior Executive,96151,4,15,2019-07-08,,No
E0248,52,Male,HR,Executive,100045,5,10,2024-09-21,,No
E0249,48,Male,Sales,Analyst,72397,5,4,2020-10-16,,No
E0250,23,Female,IT,Analyst,93698,5,3,2020-11-29,,No
E0251,57,Female,HR,Analyst,107355,2,1,2023-09-15,,No
E0252,57,Female,HR,Analyst,98484,3,14,2022-02-27,2023-01-08,Yes
E0253,30,Female,Operations,Executive,114814,2,8,2018-07-17,,No
E0254,55,Female,HR,Senior Executive,108610,4,8,2023-10-13,,No
E0255,31,Female,IT,Executive,67653,5,14,2019-09-30,,No
E0256,60,Male,HR,Analyst,85611,2,7,2024-01-26,2024-06-08,Yes
E0257,26,Female,Sales,Executive,118090,2,14,2018-04-10,,No
E0258,22,Female,Sales,Executive,99530,5,1,2022-11-20,,No
E0259,59,Male,Sales,Analyst,44175,3,7,2025-01-08,2026-01-17,Yes
E0260,47,Male,Finance,Senior Executive,81651,5,11,2021-10-03,,No
E0261,22,Male,HR,Executive,111972,3,10,2021-04-09,,No
E0262,46,Male,IT,Senior Executive,102069,2,9,2024-01-29,2026-02-05,Yes
E0263,48,Female,HR,Executive,61025,3,12,2019-01-22,,No
E0264,34,Male,HR,Executive,81201,5,9,2018-06-03,,No
E0265,58,Male,Operations,Manager,66468,2,12,2019-08-28,,No
E0266,34,Male,Finance,Manager,62387,4,9,2022-01-25,,No
E0267,41,Female,Sales,Analyst,63244,5,2,2022-02-17,,No
E0268,31,Male,HR,Analyst,34117,3,3,2018-08-06,,No
E0269,34,Female,Finance,Analyst,78176,3,8,2019-03-24,,No
E0270,26,Female,IT,Analyst,80971,4,12,2022-06-13,,No
E0271,34,Male,HR,Senior Executive,79891,2,6,2023-07-02,,No
E0272,58,Male,IT,Executive,109256,2,2,2018-02-22,2022-09-18,Yes
E0273,22,Female,Operations,Manager,102632,4,0,2023-01-14,,No
E0274,50,Male,IT,Executive,30581,2,7,2022-10-26,2022-11-04,Yes
E0275,46,Male,Finance,Analyst,46958,3,5,2019-12-15,,No
E0276,31,Female,Finance,Analyst,77112,4,9,2023-01-16,,No
E0277,42,Female,Operations,Analyst,88926,2,14,2021-10-23,,No
E0278,31,Female,Finance,Manager,36674,4,4,2023-02-25,2024-11-19,Yes
E0279,58,Female,Operations,Manager,90899,4,3,2019-06-07,2022-02-28,Yes
E0280,50,Female,HR,Executive,62550,5,4,2021-04-30,,No
E0281,42,Female,HR,Senior Executive,88068,4,13,2021-06-27,,No
E0282,22,Male,IT,Analyst,46480,2,13,2021-08-30,,No
E0283,43,Female,IT,Analyst,70671,3,3,2022-06-21,2025-06-12,Yes
E0284,42,Female,HR,Analyst,97631,5,5,2019-12-07,2025-05-20,Yes
E0285,53,Female,Finance,Executive,62805,4,5,2019-02-27,,No
E0286,44,Female,IT,Executive,75471,4,10,2018-07-29,,No
E0287,37,Male,Finance,Manager,31807,4,2,2024-03-25,,No
E0288,56,Male,IT,Analyst,68672,4,10,2019-09-01,2023-06-08,Yes
E0289,39,Female,HR,Manager,89729,2,2,2022-03-31,,No
E0290,47,Male,Operations,Executive,78797,2,0,2019-01-17,2020-01-29,Yes
E0291,57,Female,HR,Senior Executive,75185,5,1,2021-01-18,,No
E0292,60,Female,Finance,Executive,58985,3,2,2021-08-20,,No
E0293,24,Female,Finance,Manager,116014,5,1,2019-12-22,,No
E0294,28,Male,IT,Senior Executive,77630,4,15,2020-10-07,,No
E0295,56,Female,IT,Executive,28203,4,12,2023-12-19,,No
E0296,38,Female,IT,Analyst,49386,3,6,2019-11-17,,No
E0297,22,Female,IT,Executive,24045,4,11,2021-09-12,,No
E0298,42,Male,Sales,Executive,111032,2,5,2021-02-06,,No
E0299,39,Female,Sales,Executive,102649,3,9,2019-08-24,2020-06-25,Yes
E0300,36,Female,Operations,Executive,106241,5,7,2018-06-14,,No
E0301,51,Male,Finance,Executive,93501,5,6,2019-05-23,2024-07-18,Yes
E0302,39,Male,Finance,Senior Executive,30928,5,2,2023-06-01,2023-12-19,Yes
E0303,39,Female,HR,Analyst,27358,3,2,2020-06-21,,No
E0304,36,Male,IT,Senior Executive,87140,4,0,2021-08-17,,No
E0305,34,Male,Sales,Senior Executive,53503,5,0,2019-03-02,,No
E0306,42,Male,Finance,Senior Executive,83811,4,10,2019-06-24,,No
E0307,55,Female,Sales,Senior Executive,64270,2,13,2022-12-02,,No
E0308,36,Male,Operations,Senior Executive,117189,4,6,2022-02-16,,No
E0309,23,Female,HR,Senior Executive,101830,2,14,2018-02-25,2018-04-27,Yes
E0310,38,Female,Sales,Manager,61372,2,1,2022-04-01,,No
E0311,48,Male,HR,Senior Executive,78976,4,3,2019-11-26,2025-11-30,Yes
E0312,57,Male,Operations,Analyst,49013,4,2,2021-05-25,,No
E0313,30,Female,Sales,Manager,23388,5,5,2022-12-27,,No
E0314,60,Male,HR,Senior Executive,41770,3,9,2023-05-16,,No
E0315,55,Male,HR,Senior Executive,25326,5,15,2024-06-28,,No
E0316,45,Male,IT,Senior Executive,51746,2,2,2020-04-30,,No
E0317,22,Male,HR,Executive,94773,5,6,2018-04-02,2020-09-20,Yes
E0318,53,Male,Sales,Senior Executive,69588,4,3,2024-01-09,,No
E0319,35,Female,Sales,Executive,41784,4,5,2021-10-17,,No
E0320,31,Male,Sales,Manager,36897,5,15,2023-12-03,,No
E0321,24,Male,HR,Senior Executive,61695,5,11,2018-08-28,2025-09-06,Yes
E0322,34,Female,IT,Executive,87011,2,14,2024-01-27,,No
E0323,42,Female,Operations,Executive,109564,5,5,2023-09-05,2023-09-13,Yes
E0324,43,Female,IT,Analyst,60760,3,14,2023-08-02,2025-03-01,Yes
E0325,47,Male,IT,Senior Executive,27961,3,12,2019-09-23,,No
E0326,47,Male,Finance,Manager,74226,5,8,2020-08-03,,No
E0327,30,Male,Finance,Senior Executive,23043,3,9,2020-03-23,,No
E0328,39,Male,Sales,Executive,28500,3,4,2019-05-23,,No
E0329,29,Female,Operations,Senior Executive,66077,5,12,2020-01-06,,No
E0330,54,Female,Operations,Analyst,107335,4,15,2022-11-23,,No
E0331,40,Male,Operations,Manager,49398,5,7,2021-01-09,,No
E0332,37,Male,IT,Analyst,58924,5,1,2018-03-15,2022-08-10,Yes
E0333,40,Male,Operations,Analyst,118431,5,7,2020-01-12,2021-01-02,Yes
E0334,53,Male,Operations,Manager,29579,4,11,2021-09-27,2023-06-13,Yes
E0335,39,Male,Operations,Manager,20256,3,3,2022-11-13,2023-09-13,Yes
E0336,58,Male,Sales,Analyst,107694,3,8,2022-02-08,,No
E0337,35,Male,Sales,Analyst,104009,2,3,2024-11-13,,No
E0338,49,Male,HR,Analyst,61501,3,4,2024-09-11,,No
E0339,53,Female,IT,Executive,47361,4,8,2019-11-21,,No
E0340,60,Female,Finance,Executive,98699,3,3,2019-04-16,,No
E0341,27,Male,Sales,Executive,22190,2,11,2023-01-22,,No
E0342,58,Male,Operations,Manager,21254,2,1,2021-10-23,,No
E0343,53,Female,Finance,Senior Executive,119436,4,11,2024-02-14,,No
E0344,25,Male,Sales,Executive,103689,5,4,2021-06-21,,No
E0345,39,Female,Finance,Manager,22042,4,3,2021-08-29,,No
E0346,24,Female,HR,Senior Executive,25291,2,5,2024-05-29,2025-02-27,Yes
E0347,40,Male,Operations,Manager,60582,4,10,2019-07-07,,No
E0348,35,Male,IT,Manager,119177,3,12,2021-07-16,2021-12-17,Yes
E0349,28,Female,HR,Manager,49481,2,5,2018-07-12,,No
E0350,44,Female,Sales,Analyst,95134,3,8,2024-01-31,,No
E0351,36,Female,Sales,Executive,76469,3,4,2021-09-21,2024-09-14,Yes
E0352,58,Male,IT,Analyst,73630,3,13,2023-05-18,,No
E0353,58,Female,Finance,Manager,73567,5,11,2023-12-02,2024-07-12,Yes
E0354,52,Female,HR,Analyst,96762,2,12,2021-04-29,,No
E0355,54,Female,IT,Executive,116707,3,0,2021-12-17,,No
E0356,45,Female,HR,Manager,34612,4,4,2019-08-17,,No
E0357,58,Male,Finance,Executive,118246,3,11,2018-08-29,2025-06-23,Yes
E0358,46,Female,Finance,Senior Executive,86375,2,14,2019-11-13,,No
E0359,44,Female,IT,Senior Executive,78144,3,12,2019-12-20,,No
E0360,46,Female,Sales,Executive,89557,2,15,2019-09-19,,No
E0361,58,Male,IT,Executive,86511,5,4,2021-12-23,,No
E0362,49,Female,HR,Manager,56831,4,12,2021-05-31,2024-07-28,Yes
E0363,38,Male,Finance,Senior Executive,40149,3,10,2021-08-09,2024-03-31,Yes
E0364,50,Female,HR,Executive,86031,5,11,2021-03-22,2023-04-27,Yes
E0365,25,Female,Finance,Senior Executive,69827,2,0,2024-11-23,,No
E0366,41,Female,HR,Analyst,46841,3,15,2021-02-19,,No
E0367,36,Male,HR,Senior Executive,69819,4,4,2021-02-02,,No
E0368,59,Male,HR,Manager,30688,5,7,2019-01-04,,No
E0369,42,Male,Finance,Executive,29889,5,11,2019-05-29,,No
E0370,48,Male,HR,Manager,94603,2,14,2023-10-19,,No
E0371,47,Female,IT,Analyst,85756,5,12,2023-02-27,,No
E0372,29,Male,Operations,Executive,72707,3,3,2023-10-17,,No
E0373,37,Female,Operations,Analyst,38167,5,6,2024-06-01,,No
E0374,36,Male,Operations,Executive,56914,5,4,2018-09-14,,No
E0375,41,Male,Operations,Manager,64127,5,14,2020-01-14,2025-11-22,Yes
E0376,46,Male,Operations,Analyst,20088,3,14,2018-12-01,2020-07-17,Yes
E0377,35,Female,Sales,Senior Executive,50015,5,13,2023-07-14,,No
E0378,25,Male,Operations,Executive,39426,3,15,2020-05-11,2023-09-08,Yes
E0379,30,Female,Operations,Manager,75859,4,7,2020-06-15,,No
E0380,45,Female,Operations,Executive,52591,2,2,2022-10-15,,No
